backend,report,repeat,seconds
duckdb,kpi,1,2.726
duckdb,drift,1,1.354
duckdb,anomalies,1,1.578
parquet,kpi,1,9.472
parquet,drift,1,8.01
parquet,anomalies,1,8.417
duckdb,kpi,2,2.156
duckdb,drift,2,1.273
duckdb,anomalies,2,1.552
parquet,kpi,2,9.754
parquet,drift,2,8.238
parquet,anomalies,2,8.538
duckdb,kpi,3,2.201
duckdb,drift,3,1.291
duckdb,anomalies,3,1.569
parquet,kpi,3,10.008
parquet,drift,3,8.469
parquet,anomalies,3,8.542
